DATE,CPIAUCSL,UNRATE
1948-01-01,0.10242085661080069,3.4
1948-02-01,0.09481961147086038,3.8
1948-03-01,0.06818181818181812,4.0
1948-04-01,0.08272727272727276,3.9
1948-05-01,0.09384965831435088,3.5
1948-06-01,0.09375,3.6
1948-07-01,0.09761583445793964,3.6
1948-08-01,0.09062499999999996,3.9
1948-09-01,0.06654991243432562,3.8
1948-10-01,0.061108686163247494,3.7
1948-11-01,0.047701647875108444,3.8
1948-12-01,0.02733874412644166,4.0
1949-01-01,0.013935810810810967,4.3
1949-02-01,0.010139416983523386,4.7
1949-03-01,0.01744680851063829,5.0
1949-04-01,0.004198152812762368,5.3
1949-05-01,-0.004164931278633932,6.1
1949-06-01,-0.009523809523809379,6.2
1949-07-01,-0.02868852459016391,6.7
1949-08-01,-0.02988129349160873,6.8
1949-09-01,-0.02504105090311981,6.6
1949-10-01,-0.026326614561908546,7.9
1949-11-01,-0.019039735099337762,6.4
1949-12-01,-0.018295218295218296,6.6
1950-01-01,-0.02082465639316955,6.5
1950-02-01,-0.012547051442910906,6.4
1950-03-01,-0.01129234629861986,6.3
1950-04-01,-0.011287625418060276,5.8
1950-05-01,-0.0058552906733584376,5.5
1950-06-01,-0.0016722408026756952,5.4
1950-07-01,0.01561181434599157,5.0
1950-08-01,0.021097046413502074,4.5
1950-09-01,0.024842105263158,4.4
1950-10-01,0.0350654837346851,4.2
1950-11-01,0.03797468354430378,4.2
1950-12-01,0.0580262600592969,4.3
1951-01-01,0.07954062101233506,3.7
1951-02-01,0.09402795425667088,3.4
1951-03-01,0.09475465313028764,3.4
1951-04-01,0.09598308668076116,3.1
1951-05-01,0.09339503575936048,3.0
1951-06-01,0.08584589614740379,3.2
1951-07-01,0.07644370585791438,3.1
1951-08-01,0.06859504132231398,3.1
1951-09-01,0.06943303204601481,3.3
1951-10-01,0.06775510204081625,3.5
1951-11-01,0.06991869918699178,3.5
1951-12-01,0.05964771817453962,3.1
1952-01-01,0.042159180457052914,3.2
1952-02-01,0.02245451025938827,3.1
1952-03-01,0.019706336939721902,2.9
1952-04-01,0.02083333333333326,2.9
1952-05-01,0.018468641785302164,3.0
1952-06-01,0.02313922097956045,3.0
1952-07-01,0.029718255499807,3.2
1952-08-01,0.03209590100541382,3.4
1952-09-01,0.023050326546292688,3.1
1952-10-01,0.020259938837920544,3.0
1952-11-01,0.014057750759878473,2.8
1952-12-01,0.009066868152625585,2.7
1953-01-01,0.007183364839319584,2.9
1953-02-01,0.006815600151457879,2.6
1953-03-01,0.009094353921940135,2.6
1953-04-01,0.008692365835222926,2.7
1953-05-01,0.0086890819795995,2.5
1953-06-01,0.009046362608367886,2.5
1953-07-01,0.004122938530734643,2.6
1953-08-01,0.005994754589734086,2.7
1953-09-01,0.009763424708974844,2.9
1953-10-01,0.009741476208317668,3.1
1953-11-01,0.005994754589734086,3.5
1953-12-01,0.005990265818045737,4.5
1954-01-01,0.011261261261261257,4.9
1954-02-01,0.015043249341857745,5.2
1954-03-01,0.011265490048817162,5.7
1954-04-01,0.006369426751592355,5.9
1954-05-01,0.008614232209737782,5.9
1954-06-01,0.00635039223010847,5.6
1954-07-01,0.0026129152668905586,5.8
1954-08-01,0.0,6.0
1954-09-01,-0.002975083674228385,6.1
1954-10-01,-0.008534322820037077,5.7
1954-11-01,-0.0026070763500931626,5.3
1954-12-01,-0.0037216226274656705,5.0
1955-01-01,-0.006310319227913919,4.9
1955-02-01,-0.006298629121896937,4.7
1955-03-01,-0.00519866320089124,4.6
1955-04-01,-0.002606105733432673,4.7
1955-05-01,-0.005941329372447068,4.3
1955-06-01,-0.008537490720118779,4.2
1955-07-01,-0.0037230081906179935,4.0
1955-08-01,-0.00484171322160154,4.2
1955-09-01,0.0014919806042521522,4.1
